Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20
Anhui,31.825709999999997,117.2264,1,8.0,6.0,24.0,21.0,10.0,36.0,46.0,48.0,37.0,60.0,43.0,68.0,72.0,50.0,61.0,74.0,68.0,46.0,51.0,30.0,29.0,21.0,24.0,16.0,12.0,11.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Beijing,40.18238,116.4142,14,8.0,14.0,5.0,27.0,12.0,11.0,20.0,3.0,25.0,29.0,23.0,21.0,16.0,25.0,21.0,23.0,18.0,11.0,11.0,5.0,10.0,14.0,6.0,3.0,5.0,1.0,6.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0
Chongqing,30.05718,107.874,6,3.0,18.0,30.0,18.0,35.0,22.0,15.0,35.0,29.0,36.0,53.0,37.0,29.0,23.0,22.0,15.0,2.0,40.0,18.0,19.0,13.0,11.0,8.0,7.0,7.0,2.0,2.0,5.0,7.0,5.0,1.0,2.0,1.0,0.0,0.0
Fujian,26.07783,117.9895,1,4.0,5.0,8.0,17.0,24.0,21.0,4.0,17.0,19.0,24.0,15.0,20.0,15.0,11.0,10.0,9.0,15.0,11.0,11.0,6.0,5.0,7.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gansu,36.0611,103.8343,0,2.0,0.0,2.0,3.0,7.0,5.0,5.0,2.0,3.0,11.0,11.0,4.0,2.0,5.0,0.0,5.0,12.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangdong,23.33841,113.42200000000001,26,6.0,21.0,25.0,33.0,40.0,56.0,70.0,77.0,82.0,99.0,97.0,93.0,88.0,82.0,75.0,64.0,61.0,36.0,28.0,18.0,42.0,22.0,20.0,33.0,22.0,6.0,6.0,3.0,1.0,1.0,6.0,3.0,3.0,2.0,0.0
Guangxi,23.829079999999998,108.7881,2,3.0,18.0,0.0,13.0,10.0,5.0,7.0,20.0,9.0,13.0,11.0,16.0,12.0,11.0,18.0,4.0,11.0,12.0,15.0,5.0,7.0,0.0,4.0,9.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0
Guizhou,26.81536,106.8748,1,2.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,17.0,0.0,9.0,8.0,12.0,6.0,7.0,10.0,8.0,10.0,10.0,18.0,6.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hainan,19.19673,109.7455,4,1.0,3.0,11.0,3.0,11.0,7.0,3.0,3.0,6.0,10.0,2.0,8.0,8.0,19.0,7.0,11.0,7.0,7.0,7.0,6.0,13.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebei,38.0428,114.5149,1,0.0,1.0,6.0,5.0,5.0,15.0,15.0,17.0,17.0,14.0,8.0,9.0,13.0,9.0,22.0,15.0,23.0,11.0,12.0,21.0,12.0,14.0,18.0,8.0,9.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
Heilongjiang,47.861999999999995,127.7622,0,2.0,2.0,5.0,6.0,6.0,12.0,5.0,6.0,15.0,21.0,15.0,26.0,34.0,35.0,37.0,50.0,18.0,12.0,24.0,29.0,18.0,17.0,24.0,6.0,20.0,12.0,7.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0
Henan,33.882020000000004,113.61399999999999,5,0.0,4.0,23.0,51.0,45.0,40.0,38.0,72.0,74.0,70.0,71.0,73.0,109.0,89.0,87.0,63.0,67.0,52.0,40.0,32.0,30.0,34.0,15.0,28.0,19.0,15.0,11.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0
Hubei,30.975640000000002,112.2707,444,0.0,105.0,212.0,297.0,365.0,2131.0,0.0,1349.0,903.0,1347.0,4024.0,2345.0,3156.0,2987.0,2447.0,2841.0,2147.0,2531.0,2097.0,1638.0,0.0,14840.0,6200.0,1843.0,1933.0,1807.0,1693.0,349.0,411.0,220.0,1422.0,0.0,203.0,499.0,401.0
Hunan,27.610409999999998,111.7088,4,5.0,15.0,19.0,26.0,31.0,43.0,78.0,56.0,55.0,57.0,74.0,58.0,72.0,68.0,50.0,61.0,31.0,35.0,41.0,33.0,34.0,22.0,20.0,13.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0
Inner Mongolia,44.09448,113.9456,0,0.0,1.0,6.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,7.0,1.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangsu,32.97027,119.464,1,4.0,4.0,9.0,15.0,14.0,23.0,29.0,30.0,39.0,34.0,34.0,35.0,37.0,33.0,32.0,35.0,31.0,29.0,24.0,23.0,28.0,27.0,23.0,11.0,13.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangxi,27.614009999999997,115.7221,2,5.0,11.0,0.0,18.0,36.0,37.0,0.0,53.0,78.0,46.0,47.0,58.0,85.0,72.0,52.0,61.0,37.0,42.0,31.0,33.0,40.0,28.0,28.0,13.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jilin,43.66657,126.1917,0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,3.0,6.0,8.0,11.0,12.0,5.0,6.0,4.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Liaoning,41.292840000000005,122.6086,2,1.0,1.0,13.0,4.0,6.0,7.0,5.0,2.0,7.0,16.0,6.0,4.0,7.0,8.0,5.0,5.0,6.0,2.0,1.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
